"reviewerID"^"productID"^"positiveVotes"^"negativeVotes"^"reviewText"^"ratingGiven"^"reviewTime"
TRIP1LEXI, ^1747235^1^2^"I KNOW MY GRAND DAUGHTER WILL JUST LOVE THIS FOR A CHRISTMAS PRESENT!!"^5^December 8, 2015
ToniWoot, ^1747235^1^0^"This is a Christmas gift for my granddaughter. I think she'll love it."^5^December 13, 2016
dondada22, ^1747235^1^0^"Nice gift for an 11yr old"^3^December 26, 2016
Tanya, ^1747235^1^0^"My daughter loves to draw and this book has given her a better understanding to drawing techniques"^4^December 29, 2016
Sweetu12345, ^1747235^1^0^"My 5 year old son loves drawing & coloring. As he is still learning how to draw people I ordered this thinking it will help him. He is very happy with the book. They showed one side as a step by step how to draw other side as a practice sheet which is good. But the Sheet is very thin but you get what u paid for. So I don't have any complaints. Worth trying this book. Overal happy with purchase , more over my son is happy."^5^July 27, 2016
Debbie, ^42078054^4^0^"Pleased to receive this in excellent condition. I will definitely recommend this site to my friends"^5^October 12, 2015
ChristinaS413, ^42078054^3^0^"got this gift for my sister who likes anime and likes to draw, she loved it i highly recommend it."^5^December 23, 2016
GooberLips, ^42078054^2^0^"I bought it for my daughter who loves to draw and is getting into anime"^5^December 3, 2016
Brenda, ^2627900^0^7^"I Love it!!!!!"^2^March 20, 2017
Lemonkitten, ^22704464^23^0^"I love all the plays and movies by Tyler Perry!!! Thank you for your works!! :-)"^5^February 19, 2013
sweett234, ^22704464^5^0^"Before you look at the play make sure you do not have to get up for anything. Madea and the others will keep you laughing. I already knew it was going to be funny, because I seen the christmas play."^5^April 17, 2013
Cloie8, ^22704464^4^1^"The best Play I have watched. Very informative and interesting."^5^February 11, 2013
ruenviro, ^22704464^3^2^"This is not a typical Tyler Perry (Madea) movie. I could not watch the entire play. I love Madea movies but this was a waste of money in my book."^2^March 6, 2013
Street58, ^22704464^3^0^"I enjoy good movies and i love Tyler Perry. He always have a message to the people with his movies and on-stage shows. I will always purchases any of his movies. Thank you walmart for carrying his movies."^5^April 11, 2013
SassyStepper, ^22704464^2^0^"Super funny Tyler has done it again! I loved the suprise at the end of the show."^5^April 5, 2013
Mrs305, ^22704464^2^0^"TP has out done his self on this play I love the extras at the end with the singing... I'm a huge fun and supporter of TP..."^4^April 6, 2013
BigEG, ^22704464^2^0^"Absolutely one of Tyler's greatest plays with Madea and Hattie together,and then the concert at the end was a nice surprise."^5^October 15, 2013
Baccarat1, ^22704464^1^0^"Excellent product. No cost to ship to store."^5^May 27, 2014
mex01, ^22704464^1^0^"Love this stage show. Very funny and the singing is great."^5^January 14, 2014
breemissy, ^22704464^1^0^"the singing is out of this world. It is real funny, makes you realize right and wrong behavior"^5^May 27, 2014
bigFaye, ^22704464^1^0^"I love this mover"^5^February 16, 2015
DazzlinDeeva, ^22704464^1^0^"I love Tyler Perry!!! Madea Gets A Job had me laughing so hard! I can;t wait to add this movie to my collection of Tyler Perry DVD's and watch the movie again!!"^5^March 13, 2013
bettyboop53, ^22704464^1^0^"Tyler Perry does what he does best - make you laugh. Even the cast was laughing at themselves! Excellent actors and the mini-concert at the end was outstanding! Tyler Perry can sing!"^5^December 7, 2013
10MLSS, ^22704464^0^1^"I was expecting a movie format not a play format."^1^July 24, 2014
lynn5612, ^22704464^0^1^"Hated it! will never buy another play!!!!"^1^August 13, 2014
Maranara, ^35091845^125^8^"Has the following episodes on it: Pups save the sea turtles, Pups and the very big baby,pups and the kitty-tastrophe, pups save a train, pup pup boogle, pups in a fog, pup pup goose, pup pup and away, pups save the circus and pup a doodle do."^5^May 13, 2014
lc44, ^35091845^15^2^"Bought for 2 yr old nephew and he loved it. Apparently Paw Patrol is very popular with the little ones. Won't be sorry you bought it."^5^June 16, 2014
salemcheese, ^35091845^10^2^"My grandson has started watching Paw Patrol and he really enjoyed the rescue puppies and their adventures. It also teaches good values for kids and also teaches about the world around us."^5^June 8, 2014
egore78, ^35091845^8^4^"delivered at reassonable time"^4^May 14, 2014
Alli, ^35091845^3^1^"Perfect for a road trip or when Paw Patrol is being requested and it's not on TV!"^5^December 31, 2015
chanel2681, ^35091845^3^0^"My 3 year olds favorite dvd"^5^November 5, 2014
Joanie, ^35091845^2^0^"Quality of the video are excellent and my granddaughter loves this show."^5^May 1, 2016
DomesticGoddessGrizzy, ^35091845^2^0^"My daughter loves paw patrol... I ordered this video online took 3 weeks to receive but worth it for my daughter"^4^October 7, 2014
mommyandproudarmywife, ^35091845^2^1^"My son was already watching this on TV in the mornings. So I got it for him as a birthday gift, he was so excited and now can watch it anytime."^5^June 4, 2014
^35091845^2^0^"It a cute cartoon, for dog lovers and no lovers as well!!!"^5^June 27, 2014
OzRock, ^35091845^2^0^"My 4 yr old enjoyed it."^3^December 16, 2016
MommyofLili, ^35091845^1^0^"My three year old loves Paw Patrol..... nothing more to say. She wanted it so I bought it. Worth every nickel!"^5^May 25, 2014
Grammyplc, ^35091845^1^0^"I purchased this for a Christmas present for my 4 year old grandson who absolutely loves the Paw Patrol. Though he has not received this gift yet I can say it arrived quickly and ready for me to wrap and put under the tree."^5^December 3, 2014
LILLIAN, ^35091845^1^0^"MY SON LOVED IT"^5^March 29, 2016
micant, ^35091845^1^1^"Perfect gift for child learning potty training. Fastest shipping"^5^July 28, 2014
fmasci, ^35091845^1^0^"My grand children, 2 and 3 years old, love the show"^5^February 22, 2017
AJWHITE, ^35091845^1^0^"Great child friendly movie"^5^January 9, 2017
Katt28, ^35091845^1^0^"My nephew loves this DVD. Great purchase, quality and length of video."^5^January 31, 2016
sweetpea, ^35091845^0^1^"Awesome movie for children"^5^September 27, 2015
Snaidirolf, ^1440000^1^0^"I find this book very good for myself since I have some musical education on guitar. Being able to read basic music is getting me through it self taught. I think it would be a good book to bring to a piano teacher also if one was thinking of taking lessons for the first time. Good luck."^5^November 12, 2012
pianokar, ^1440000^1^3^"Having taught from this book for many years, this looks like the smaller, cheaper, not so well put together version.  Have not checked every page to see if each lesson is the same.  Here's hoping the students learn like those of the past!!"^4^July 7, 2016
Kathy, ^1440000^0^1^"Great book at a great price"^5^April 2, 2016
Habs, ^47698887^0^1^"Beautiful pages with inspiring words.  I love the animals."^5^October 6, 2016
Ukegirl, ^14288829^3^1^"I'm a beginner. I like how the chords are shown above the song. A lot of great classic songs."^5^January 5, 2015
Jazzygirl53, ^14288829^2^0^"So many great songs for all levels of players., excellent book! And it arrived in 3 days!"^5^November 25, 2014
HikendanceEliot, ^14288829^2^1^"Great book great price!"^5^November 20, 2012
Tobby1962, ^14288829^1^0^"This has a wonderful and varied selection of songs for strumming on the ukulele. The instructional info at the beginning of the book are very helpful for a beginner like me."^5^August 10, 2015
Ukelady, ^14288829^1^0^"The book is just as advertised ..365 different songs.  I enjoy mine very much.  So many tunes from the 60's and more."^5^August 3, 2016
villasispp, ^54296799^1^0^"i used gel pens to color it and some of the ink went thru the next page, otherwise, it's a good buy."^4^February 9, 2017
donnadotybooks, ^9853855^3^2^"It had its merits but just wasn't quite the beginer level I expected"^2^June 22, 2014
Ivorytickler1936, ^4300800^24^1^"This music instruction system is the best foundational training for anyone of any age to get the most important send off for a music life of enrichment and enjoyment. I am 76 years old and startedwith this book when I was 7. I was in love with music. By age 10 or 11 I was playing for our church. When I was almost out of my teen years, I furnished the wedding music for my third music teacher and her husband. I play the piano, the piano doesn't play me. I credit the confidence I got from the start in this book as well as the rest of the books in the course for what I consider a successful music life. I don't want to leave God out of the equasion, because He allowed this success to happen. I have only played church related music all my life."^5^July 22, 2012
Playergramie, ^4300800^11^0^"I USED THIS BOOK 50 YEARS AGO TO LEARN TO PLAY THE PIANO. NOW I'M USING IT TO TEACH MY GRANDAUGHTER. AS GOOD AS IT WAS THEN."^5^December 18, 2014
Jnoland, ^4300800^11^0^"Easy to follow with familiar songs"^5^June 16, 2012
churchpianist, ^4300800^9^0^"There are other Piano Courses in the system, but I'm convinced this is the best to learn all the ins and outs of piano playing. It worked for me 65+ years ago and it still works well today."^5^November 25, 2014
GreekSC, ^4300800^5^0^"I am a teacher and I have been using this primer book for many years. Glad to know i can order it from Wal-Mart and have it shipped to my neighborhood store. I save a lot of gas and get it cheaper than in the music store that is ten miles away."^5^June 25, 2015
DanielWOwensboroKY, ^4300800^3^0^"with colored illustrations! :~)"^5^February 9, 2016
Pegalegcauseihadpolio, ^4300800^2^0^"I am 64 years old and I am having to learn all back over again. Years ago I played in The School Band JR HIGH and I forgot how to read music notes. The music book *Teaching Little Fingers To Play*  went to my Walmart store in good condition. Thank You Walmart for sending my book in such good wrapping package."^5^August 26, 2016
Willy, ^4300800^2^0^"I bought this for my 3 years old and she loves it..it's so easy to read and fun.."^5^March 7, 2017
MsNancy, ^4300800^1^0^"I use this lesson book for my youngest piano students, in Kindergarten or first grade (age 5-6), whose little hands can't yet reach an octave. The notation includes finger numbers and quite a few songs with repeating tones. It includes illustrations of the keyboard to show where to find notes on the staff."^5^March 8, 2017
mom24, ^4300800^1^0^"easy to use my daughter loved she is 8 it has helped her a lot."^5^January 18, 2016
Bayfair, ^8214463^7^0^"My son is 12 yrs old so this is a perfect book for him to start with. This book progresses more quickly than regular 1A & 1B and my son likes it."^5^July 29, 2011
cgirlw, ^8214463^6^0^"I dont have much to say, but i purchased these piano books for my children and i got what i wanted at an excellent price over amazon, sam ash music store etc. and the delivery was prompt."^5^October 9, 2012
EasyToUseByKids, ^8214463^5^0^"The complete 1 includes 1a and 1B. It saves my money and time"^5^December 6, 2011
Mindi12, ^8214463^3^0^"My daughter is 10 and has no previous experience playing the piano. This book is a wonderful teaching tool and she has been learning how to play from it with little to no help from me. She absolutely loves it."^5^December 10, 2014
Stacy2000, ^13903835^1^0^"For a book order that was placed on Sunday and processed and mailed out on Monday from Washington state, 5-day transit time to California on the following Saturday is not acceptable. I wish Walmart.com won't use UPS Mail Innovation any more, even USPS itself is much quicker."^4^September 25, 2013
papergrass, ^13903831^1^0^"I ordered the music book online for my daughter. It arrived at my local Fedex office less than a week. The shipping was free. I'm totally satisfied by the price and the service. I'll definitely order again from walmart.com."^5^February 3, 2014
Wildmonkey3, ^33940493^42^0^"I was so excited when I received this coloring book. The pictures are beautiful, and I feel like I am making a masterpiece when I color them. There are very few adult coloring books out there that show scenery as well as this book does. Well worth the money, although the price is very reasonable for what you receive....."^5^December 8, 2015
Charm43, ^33940493^17^1^"Woo-hoo! Finally, a coloring book with scenery and animals to color! I got tired of the repetitious coloring books that had wallpaper-type patterns, stained glass and paisley designs, or nothing but flowers on the pages. I wanted objects that I could use shading (of my own) without so much black ink from the artists pen. Now I can do sky, trees, animals, buildings, plants and flowers in a scene that I can do all of the shading myself. Love this. Will buy more of this type of coloring book!"^5^March 28, 2016
MeAndTheCat, ^33940493^16^0^"It has nice pictures but not what I was looking for. I wanted more like the one on the cover and woods and ponds, etc. This book had too many barns, farm scenes and such. It stills deserves 5 stars and will make lots of customers happy, I am sure.

I do wish Walmart would let us see a few pages of the books , to make our choices less of a hit or miss purchase. Other sites give customers a peek inside. I ended up returning 2 of my purchases, but the process was quick and painless. To anyone shopping for adult coloring books for the first time on line, Walmart does have a great variety of subjects and an extensive collection!"^5^April 2, 2016
4grandsons, ^33940493^15^0^"This is not the everyday run of the mill adult coloring book.  Every book I have seen is that artsy stuff.  I don't want stained glass, fish, spirals, or squigglies.  This book has about 31 pictures and the sheets are perforated for easy removal if you want.  It is similar to notebook paper but a heavier stock.  Very detailed pictures that are very outdoorsy.  I liked this so much I sent one to each of my 2 sisters and just got another one this week for a friend.  Never thought I would be interested in coloring.  Thought I had outgrown it.  I had a magazine with one sheet in it and I tried it.  I find it to be very relaxing and soothing so I do it every night before going to bed.  My sister agrees with me and she is a very nervous person.  The one I got for my friend is because she has a lot of sleepless nights and my other sister has dementia.  I am hoping this helps them all."^5^September 2, 2016
belgal, ^33940493^12^3^"Lov . It"^5^December 8, 2015
MamaT, ^33940493^11^0^"I  received this adult coloring book from Dover Publications in exchange for posting a review.  I love the country scenes that are in this book, I live in the country so this is something that I can relate with.  I believe you will really enjoy this book if you like to color onto something that brings back memories."^5^May 23, 2016
ParadiseView, ^33940493^10^0^"Beautiful country designs to color..great for layering colors and shading..peaceful and relaxing scenes."^5^February 25, 2016
Gma17, ^33940493^5^0^"I liked it. Good variety of landscape scenes."^5^March 9, 2016
JLowd, ^33940493^4^1^"Gave as Christmas gifts with pencils"^5^January 20, 2016
pjett31, ^33940493^4^0^"I really enjoy coloring the pictures in this book. They are very detailed but not so detailed to be overwhelming. Quite a variety of scenes, farms, fishing, flowers, animals. I am ordering two more books to give to my mother and mother-in-law for mother's day. They will enjoy the book too."^5^April 4, 2016
savvyshopper, ^33940493^3^0^"There were a few pages that I colored but, for the most part, there was too much really small detail and really bad perspective--the flowers were bigger than the fence they were growing on.  Also the pages are not perforated.  The pages I didn't color will go to Goodwill."^2^February 28, 2017
Bobbie, ^33940493^3^0^"Excellent variety of pictures."^5^February 25, 2016
Chris, ^33940493^2^0^"The book has a variety of country like scenes--barns, farm scenes... But it wasn't quite what i was looking for. The pictures are good, no problem with that. Just wasn't really what I was looking for."^4^December 19, 2016
India, ^33940493^1^0^"Lines are to small for older adult eyes"^3^May 13, 2016
trcr, ^33940493^1^0^"Got this for my hubby who likes to color!  The scenes are interesting and picturesque!  Much better than the tiny Mandela coloring books that are available!"^5^December 12, 2016
ravin, ^33940493^1^0^"scenes very pretty plenty opportunity for color variety"^4^February 20, 2016
SHOPPER, ^33940493^1^0^"PAPER NOT HIGH QUALITY BUT GOOD ENOUGH FOR ALL COLORING NEEDS"^4^March 9, 2017
sfabian261, ^55217813^2^0^"This is one of the best Bible Journaling books I've found, and I've gotten a few. But, this one is so awesome - its gives you so much inspiration  and examples from some of coolest bible journalers. Its OK to express your faith in your bible and you'll find so many ideas, templates, stickers and tips in this book. I have recommended this to several people. Hope you enjoy as much as I do."^5^August 7, 2017
HopeL, ^4979461^3^0^"The lesions in the book were disappointing in that they were far more advanced than the title implied. I bought this book for a middle grade student because the It he title states it is a beginner's level,. But the instructions and lessons seemed difficult, even for an adult. This is one of those times when buying in person would have been better. Or perhaps, the ad should have show a couple of pages from the inside of the book ths demonstrate the 'beginner's level' they are talking about. It seemed rather advanced to me!"^3^December 26, 2014
PianoGirl, ^10276202^1^0^"They are great to learn to recognize all the notes, symbols and terms."^5^October 23, 2015
Stevay2005, ^10964855^4^0^"Bought this for my 9 year old twins who are 1.5-2 years into piano lessons. They are appreciating 'real' music, beyond the typical piano lesson music. They like these classics along with pop hits. They each picked a few songs that they asked their teacher to cover. My only complaint is often repeated by many before me - it's too tough to keep open while playing without really wrestling with it. Hopefully that won't compromise the binding long term. It's annoying to have to figure out a creative way to keep this book open."^4^January 24, 2014
Litica, ^2410280^2^1^"I wish This Item could be a really music flash card. It is only for piano students. Children who study instruments such as Violin, Mandolin etc. get confuse ."^3^May 19, 2013
hpmomfan, ^2410280^2^0^"The flashcards themselves seem to be good quality. There are three different types and they are color-coded. They did not come in a box however. They were just rubber-banded together which I found odd."^4^June 21, 2011
Fiddlers, ^2410280^1^0^"These are printed on cardstock so thin, it they should be called flashpapers. They are small, the printing is smaller, and they are good only for piano music, not violin."^2^December 31, 2012
Tasteofsoup, ^3196128^2^0^"Great value and really helps young beginners to learn to play the piano. Alfred books are fun for kids while they're also learning important skills."^5^November 30, 2011
bluebird2323, ^3196128^1^0^"This music book is a gift for my granddaughter for Christmas, so she has not seen it. Having taken music lessons myself, I've used the Alfred Piano books before and I've never been unhappy with them. I'm sure this will be perfect for her."^5^December 15, 2012
DinaS, ^3196128^1^0^"I bought this book intending on handing it to my 9 year old and having him read through it and teach himself to play piano. When we got it, it read as though you must have a teacher and this was the homework book. Other than that it was fine."^5^February 15, 2015
Jeanettero, ^3196128^1^0^"We were told this was the best beginner piano book by our piano teacher. It is interactive and a great start."^5^September 3, 2015
papergrass, ^13980882^9^0^"My 6 year old daughter has been using this series to learn playing piano since she was five. This book is as great as her lower leveled ones. It really helps young kids to grow and keep their interests for music. The service from Walmart.com is fast. I'm totally satisfied."^5^December 19, 2012
Glojack, ^13980882^1^0^"Faber''s books are so much  better than the Alfred's Piano Adventures Books."^5^November 22, 2016
abisan, ^13980882^0^2^"my son is taking piano classes and his teacher told me to buy this buy for the classes"^5^April 7, 2016
